STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,VARIABLE_CATEGORY,Variable category,SIGI_FRAMEWORK,SIGI Framework,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,POP_BASE,Population base,CALC_METHOD,Calculation method,SDG_SERIES,SDG indicator
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,COD,Democratic Republic of the Congo,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DJI,Djibouti,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DMA,Dominica,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GNQ,Equatorial Guinea,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,ERI,Eritrea,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,SWZ,Eswatini,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,FJI,Fiji,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GAB,Gabon,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GMB,Gambia,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GRD,Grenada,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GIN,Guinea,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GNB,Guinea-Bissau,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GUY,Guyana,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,HND,Honduras,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JAM,Jamaica,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,XKV,Kosovo,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,LAO,Lao People’s Democratic Republic,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,LSO,Lesotho,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,LBR,Liberia,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MDG,Madagascar,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MWI,Malawi,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MLT,Malta,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MRT,Mauritania,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MUS,Mauritius,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MOZ,Mozambique,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,NAM,Namibia,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,NPL,Nepal,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,NER,Niger,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,OMN,Oman,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,PAN,Panama,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,PNG,Papua New Guinea,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,PRY,Paraguay,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,WSM,Samoa,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,STP,Sao Tome and Principe,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,SEN,Senegal,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,SYC,Seychelles,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,SLE,Sierra Leone,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,SLB,Solomon Islands,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
